[19.158300, 19.158300]
[32.807100, 32.807100]
[25.920300, 25.920300]
[26.221000, 26.221000]
[35.454200, 35.454200]
[129.476000, 129.476000]
[0.190375, 0.190375]
[2.014260, 2.014260]
[4.251050, 4.251050]
[0.316337, 0.316337]
[7.376060, 7.376060]
[5.728140, 5.728140]
[0.997234, 0.997234]
[2.059480, 2.059480]
[2.983210, 2.983210]
[0.068346, 0.068346]
[0.054542, 0.054542]
[0.024713, 0.024713]
[0.455916, 0.455916]
[0.028878, 0.028878]
[6.426970, 6.426970]
[9.234920, 9.234920]
[0.076480, 0.076480]
[3.941740, 3.941740]
[0.364386, 0.364386]
[0.092684, 0.092684]
[6.678070, 6.678070]
[0.237750, 0.237750]
[0.011596, 0.011596]
[6.405200, 6.405200]
[6.905100, 6.905100]
[3.866710, 3.866710]
[0.248686, 0.248686]
[0.007848, 0.007848]
[0.008768, 0.008768]
[2.921870, 2.921870]
[0.147051, 0.147051]
[7.126280, 7.126280]
[0.456216, 0.456216]
[0.035705, 0.035705]
[8.342960, 8.342960]
[0.022743, 0.022743]
[0.496358, 0.496358]
[6.707120, 6.707120]
[0.684929, 0.684929]
[1.297800, 1.297800]
[0.365138, 0.365138]
[0.672038, 0.672038]
[0.072543, 0.072543]
[2.494380, 2.494380]
[1.901440, 1.901440]
[0.184254, 0.184254]
[0.401988, 0.401988]
[0.366993, 0.366993]
[0.779220, 0.779220]
[0.765991, 0.765991]
[0.392898, 0.392898]
[0.282955, 0.282955]
[0.021396, 0.021396]
[0.030776, 0.030776]
[0.231106, 0.231106]
[0.081595, 0.081595]
[2.139530, 2.139530]
[0.648895, 0.648895]
[1.033460, 1.033460]
[1.597620, 1.597620]
[0.000000, 60.000000]
[0.000000, 7.000000]
[0.000000, 7.000000]
[0.000000, 2.500000]
[0.000000, 4.000000]
[6.678070, 6.678070]
[0.237750, 0.237750]
[6.678070, 6.678070]
[0.237750, 0.237750]
[0.000000, 12.000000]
[0.000000, 12.000000]
[0.011596, 0.011596]
[6.405200, 6.405200]
[1.901440, 1.901440]
[0.081595, 0.081595]
[0.081595, 0.081595]
[1.901440, 1.901440]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[2.014260, 2.014260]
[0.000000, 6.000000]
[4.251050, 4.251050]
[0.000000, 7.000000]
[0.000000, 7.000000]
