[36.924000, 36.924000]
[22.879800, 22.879800]
[18.680700, 18.680700]
[33.925400, 33.925400]
[36.728300, 36.728300]
[154.236000, 154.236000]
[0.195798, 0.195798]
[2.421720, 2.421720]
[2.688410, 2.688410]
[0.345146, 0.345146]
[6.550620, 6.550620]
[3.315150, 3.315150]
[1.597780, 1.597780]
[1.837100, 1.837100]
[2.994460, 2.994460]
[0.066446, 0.066446]
[0.060471, 0.060471]
[0.025210, 0.025210]
[0.432651, 0.432651]
[0.038456, 0.038456]
[9.771970, 9.771970]
[8.764950, 8.764950]
[0.169769, 0.169769]
[9.020070, 9.020070]
[0.377455, 0.377455]
[0.210700, 0.210700]
[4.860970, 4.860970]
[0.216315, 0.216315]
[0.006896, 0.006896]
[13.102100, 13.102100]
[5.612060, 5.612060]
[3.667530, 3.667530]
[0.148196, 0.148196]
[0.005706, 0.005706]
[0.008732, 0.008732]
[4.608210, 4.608210]
[0.183955, 0.183955]
[5.964760, 5.964760]
[0.664804, 0.664804]
[0.020079, 0.020079]
[4.989560, 4.989560]
[0.021206, 0.021206]
[0.750173, 0.750173]
[7.458000, 7.458000]
[0.720773, 0.720773]
[2.342180, 2.342180]
[0.406736, 0.406736]
[0.582304, 0.582304]
[0.035220, 0.035220]
[2.497550, 2.497550]
[3.950750, 3.950750]
[0.187216, 0.187216]
[0.494788, 0.494788]
[0.429605, 0.429605]
[0.592026, 0.592026]
[0.809663, 0.809663]
[0.477424, 0.477424]
[0.265040, 0.265040]
[0.026965, 0.026965]
[0.037664, 0.037664]
[0.197788, 0.197788]
[0.051664, 0.051664]
[2.143890, 2.143890]
[0.679984, 0.679984]
[1.177430, 1.177430]
[2.212900, 2.212900]
[0.000000, 60.000000]
[0.000000, 7.000000]
[0.000000, 7.000000]
[0.000000, 2.500000]
[0.000000, 4.000000]
[4.860970, 4.860970]
[0.216315, 0.216315]
[4.860970, 4.860970]
[0.216315, 0.216315]
[0.000000, 12.000000]
[0.000000, 12.000000]
[0.006896, 0.006896]
[13.102100, 13.102100]
[3.950750, 3.950750]
[0.051664, 0.051664]
[0.051664, 0.051664]
[3.950750, 3.950750]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[2.421720, 2.421720]
[0.000000, 6.000000]
[2.688410, 2.688410]
[0.000000, 7.000000]
[0.000000, 7.000000]
