[38.374100, 38.374100]
[25.297300, 25.297300]
[11.731900, 11.731900]
[47.397100, 47.397100]
[48.325700, 48.325700]
[130.288000, 130.288000]
[0.191585, 0.191585]
[1.755700, 1.755700]
[2.862570, 2.862570]
[0.779487, 0.779487]
[10.350700, 10.350700]
[4.027460, 4.027460]
[0.662305, 0.662305]
[0.934122, 0.934122]
[2.368570, 2.368570]
[0.044251, 0.044251]
[0.069391, 0.069391]
[0.028088, 0.028088]
[0.359929, 0.359929]
[0.027358, 0.027358]
[4.372840, 4.372840]
[7.439000, 7.439000]
[0.192621, 0.192621]
[4.998640, 4.998640]
[0.444875, 0.444875]
[0.204497, 0.204497]
[7.041400, 7.041400]
[0.361403, 0.361403]
[0.017324, 0.017324]
[16.064800, 16.064800]
[5.032090, 5.032090]
[3.937020, 3.937020]
[0.247538, 0.247538]
[0.013155, 0.013155]
[0.009320, 0.009320]
[3.134560, 3.134560]
[0.168802, 0.168802]
[10.544400, 10.544400]
[0.427991, 0.427991]
[0.021610, 0.021610]
[9.369710, 9.369710]
[0.017745, 0.017745]
[0.466444, 0.466444]
[6.756200, 6.756200]
[0.661562, 0.661562]
[3.683500, 3.683500]
[0.178403, 0.178403]
[0.526012, 0.526012]
[0.052433, 0.052433]
[1.688670, 1.688670]
[4.945110, 4.945110]
[0.170623, 0.170623]
[0.674537, 0.674537]
[0.336588, 0.336588]
[0.456766, 0.456766]
[0.547617, 0.547617]
[0.333527, 0.333527]
[0.336641, 0.336641]
[0.018609, 0.018609]
[0.013247, 0.013247]
[0.420297, 0.420297]
[0.103330, 0.103330]
[1.827350, 1.827350]
[0.277466, 0.277466]
[1.171430, 1.171430]
[2.162450, 2.162450]
[0.000000, 60.000000]
[0.000000, 7.000000]
[0.000000, 7.000000]
[0.000000, 2.500000]
[0.000000, 4.000000]
[7.041400, 7.041400]
[0.361403, 0.361403]
[7.041400, 7.041400]
[0.361403, 0.361403]
[0.000000, 12.000000]
[0.000000, 12.000000]
[0.017324, 0.017324]
[16.064800, 16.064800]
[4.945110, 4.945110]
[0.103330, 0.103330]
[0.103330, 0.103330]
[4.945110, 4.945110]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[0.000000, 4.000000]
[1.755700, 1.755700]
[0.000000, 6.000000]
[2.862570, 2.862570]
[0.000000, 7.000000]
[0.000000, 7.000000]
